1  0.1
2  0.09
3  0.081
4  0.0729
5  0.06561
6  0.059049
7  0.0531441
8  0.0478297
9  0.0430467
10  0.038742
11  0.0348678
12  0.0313811
13  0.028243
14  0.0254187
15  0.0228768
16  0.0205891
17  0.0185302
18  0.0166772
19  0.0150095
20  0.0135085
21  0.0121577
22  0.0109419
23  0.00984771
24  0.00886294
25  0.00797664
26  0.00717898
27  0.00646108
28  0.00581497
29  0.00523348
30  0.00471013
31  0.00423912
32  0.0038152
33  0.00343368
34  0.00309032
35  0.00278128
36  0.00250316
37  0.00225284
38  0.00202756
39  0.0018248
40  0.00164232
