0.672   1
0.816   2
0.96   4
1.104   13
1.248   19
1.392   29
1.536   51
1.68   78
1.824   102
1.968   139
2.112   234
2.256   315
2.4   421
2.544   546
2.688   717
2.832   902
2.976   1137
3.12   1303
3.264   1581
3.408   1884
3.552   2041
3.696   2397
3.84   2482
3.984   2648
4.128   2906
4.272   2785
4.416   2680
4.56   2562
4.704   2487
4.848   2263
4.992   1960
5.136   1701
5.28   1566
5.424   1254
5.568   1045
5.712   832
5.856   607
6   499
6.144   371
6.288   255
6.432   170
6.576   137
6.72   99
6.864   54
7.008   36
7.152   28
7.296   18
7.44   7
7.584   6
