0.0833333  3683
0.25  3806
0.416667  3822
0.583333  3968
0.75  4117
0.916667  4390
1.08333  4458
1.25  4644
1.41667  4982
1.58333  5161
1.75  5815
1.91667  6976
2.08333  9136
2.25  10394
2.41667  9172
2.58333  7597
2.75  7122
2.91667  7081
3.08333  6920
3.25  6660
3.41667  6521
3.58333  6174
3.75  5914
3.91667  5651
4.08333  5596
4.25  5619
4.41667  5471
4.58333  5313
4.75  5326
4.91667  5174
5.08333  5200
5.25  5320
5.41667  5295
5.58333  5392
5.75  5547
5.91667  5639
6.08333  18960
6.25  5929
6.41667  6006
6.58333  5970
6.75  6163
6.91667  6017
7.08333  6301
7.25  6377
7.41667  6403
7.58333  6493
7.75  6527
7.91667  6538
8.08333  6487
8.25  6521
8.41667  6695
8.58333  6696
8.75  6637
8.91667  6565
9.08333  6807
9.25  6733
9.41667  7068
9.58333  7051
9.75  7113
9.91667  7306
